iter	Passed	Remaining
0	153	153533
1	163	81710
2	173	57556
3	183	45579
4	190	37984
5	196	32585
6	201	28613
7	205	25497
8	209	23018
9	212	21018
10	215	19380
11	218	18016
12	222	16877
13	225	15895
14	229	15038
15	232	14291
16	235	13637
17	239	13052
18	242	12527
19	246	12057
20	249	11635
21	253	11249
22	256	10896
23	259	10569
24	263	10271
25	266	10001
26	270	9743
27	273	9507
28	277	9284
29	280	9078
30	284	8884
31	287	8706
32	291	8535
33	294	8374
34	298	8223
35	301	8079
36	305	7942
37	308	7813
38	312	7692
39	315	7580
40	319	7468
41	322	7359
42	326	7257
43	329	7156
44	332	7057
45	335	6965
46	339	6876
47	342	6792
48	345	6709
49	349	6632
50	352	6558
51	355	6488
52	359	6427
53	363	6366
54	367	6316
55	372	6272
56	376	6221
57	379	6171
58	383	6122
59	387	6078
60	392	6038
61	396	5997
62	403	5994
63	407	5955
64	411	5918
65	416	5887
66	419	5847
67	423	5810
68	428	5776
69	432	5742
70	436	5706
71	439	5670
72	443	5633
73	448	5606
74	451	5574
75	455	5541
76	459	5508
77	463	5483
78	468	5457
79	471	5426
80	476	5401
81	479	5373
82	484	5350
83	488	5329
84	492	5304
85	496	5278
86	500	5253
87	504	5228
88	508	5206
89	512	5184
90	516	5162
91	520	5141
92	525	5123
93	529	5102
94	533	5081
95	538	5068
96	542	5049
97	547	5035
98	551	5022
99	556	5004
100	559	4984
101	562	4949
102	566	4930
103	569	4910
104	573	4890
105	577	4871
106	581	4851
107	585	4832
108	588	4814
109	592	4795
110	596	4777
111	600	4759
112	604	4742
113	607	4724
114	611	4707
115	615	4687
116	618	4668
117	622	4649
118	626	4636
119	630	4625
120	634	4611
121	639	4600
122	643	4586
123	647	4572
124	651	4558
125	655	4546
126	658	4529
127	662	4512
128	666	4497
129	669	4482
130	673	4466
131	676	4450
132	680	4434
133	683	4418
134	687	4403
135	690	4387
136	694	4372
137	697	4358
138	701	4343
139	704	4328
140	707	4312
141	711	4298
142	714	4283
143	718	4270
144	721	4257
145	725	4242
146	728	4229
147	732	4215
148	735	4201
149	739	4188
150	742	4174
151	745	4161
152	749	4148
153	752	4136
154	756	4123
155	760	4114
156	763	4101
157	767	4089
